Date,Day,Name,Type
2003-01-01,Wednesday,New Year's Day,Public Holiday
2003-01-02,Thursday,January 2 Joint Holiday,Joint Holiday
2003-02-01,Saturday,Chinese Lunar New Year's Day,Public Holiday
2003-02-12,Wednesday,Eid al-Adha,Public Holiday
2003-03-05,Wednesday,Muharram/Islamic New Year,Public Holiday
2003-03-21,Friday,March Equinox,Season
2003-04-18,Friday,Good Friday,Public Holiday
2003-04-20,Sunday,Easter Sunday,Observance
2003-05-29,Thursday,Ascension Day of Jesus Christ,Public Holiday
2003-06-22,Sunday,June Solstice,Season
2003-08-17,Sunday,Indonesian Independence Day,Public Holiday
2003-08-18,Monday,Indonesian Independence Day observed,Public Holiday
2003-09-23,Tuesday,September Equinox,Season
2003-09-24,Wednesday,Ascension of the Prophet Muhammad,Public Holiday
2003-11-26,Wednesday,Idul Fitri Day 1,Public Holiday
2003-11-27,Thursday,Idul Fitri Day 2,Public Holiday
2003-12-21,Sunday,December 21 Joint Holiday,Joint Holiday
2003-12-22,Monday,December Solstice,Season
2003-12-24,Wednesday,Christmas Eve,Observance
2003-12-25,Thursday,Christmas Day,Public Holiday
2003-12-31,Wednesday,New Year's Eve,Observance
2004-01-01,Thursday,New Year's Day,Public Holiday
2004-01-02,Friday,January 2 Joint Holiday,Joint Holiday
2004-01-22,Thursday,Chinese Lunar New Year's Day,Public Holiday
2004-02-02,Monday,Eid al-Adha,Public Holiday
2004-02-22,Sunday,Muharram/Islamic New Year,Public Holiday
2004-03-20,Saturday,March Equinox,Season
2004-04-09,Friday,Good Friday,Public Holiday
2004-04-11,Sunday,Easter Sunday,Observance
2004-05-20,Thursday,Ascension Day of Jesus Christ,Public Holiday
2004-06-21,Monday,June Solstice,Season
2004-08-17,Tuesday,Indonesian Independence Day,Public Holiday
2004-09-12,Sunday,Ascension of the Prophet Muhammad,Public Holiday
2004-09-22,Wednesday,September Equinox,Season
2004-11-14,Sunday,Idul Fitri Day 1,Public Holiday
2004-11-15,Monday,Idul Fitri Day 2,Public Holiday
2004-12-21,Tuesday,December Solstice,Season
2004-12-21,Tuesday,December 21 Joint Holiday,Joint Holiday
2004-12-24,Friday,Christmas Eve,Observance
2004-12-25,Saturday,Christmas Day,Public Holiday
2004-12-31,Friday,New Year's Eve,Observance
2005-01-01,Saturday,New Year's Day,Public Holiday
2005-01-02,Sunday,January 2 Joint Holiday,Joint Holiday
2005-01-21,Friday,Eid al-Adha,Public Holiday
2005-02-09,Wednesday,Chinese Lunar New Year's Day,Public Holiday
2005-02-10,Thursday,Muharram/Islamic New Year,Public Holiday
2005-03-20,Sunday,March Equinox,Season
2005-03-25,Friday,Good Friday,Public Holiday
2005-03-27,Sunday,Easter Sunday,Observance
2005-05-05,Thursday,Ascension Day of Jesus Christ,Public Holiday
2005-06-21,Tuesday,June Solstice,Season
2005-08-17,Wednesday,Indonesian Independence Day,Public Holiday
2005-09-01,Thursday,Ascension of the Prophet Muhammad,Public Holiday
2005-09-23,Friday,September Equinox,Season
2005-11-01,Tuesday,Diwali/Deepavali,Observance
2005-11-04,Friday,Idul Fitri Day 1,Public Holiday
2005-11-05,Saturday,Idul Fitri Day 2,Public Holiday
2005-12-22,Thursday,December Solstice,Season
2005-12-21,Wednesday,December 21 Joint Holiday,Joint Holiday
2005-12-24,Saturday,Christmas Eve,Observance
2005-12-25,Sunday,Christmas Day,Public Holiday
2005-12-31,Saturday,New Year's Eve,Observance
2006-01-01,Sunday,New Year's Day,Public Holiday
2006-01-02,Monday,January 2 Joint Holiday,Joint Holiday
2006-01-10,Tuesday,Eid al-Adha,Public Holiday
