date,time,T,Po,U,DD,Ff,N,WW,Cl,Nh,H,VV,city
2018-12-31,23,25.6,759.2,87,Wind blowing from the north-northeast,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,10.0,Kuala Lumpur
2018-12-31,20,27.4,758.9,84,Wind blowing from the east-northeast,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-31,17,28.9,756.2,82,Wind blowing from the west-southwest,2,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-31,14,31.3,757.3,71,Wind blowing from the north-west,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-31,11,28.1,759.3,85,Wind blowing from the west-northwest,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-31,08,25.0,759.1,95,Wind blowing from the north,1,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,8.0,Kuala Lumpur
2018-12-31,05,26.9,756.4,89,Wind blowing from the north-northeast,2,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,9.0,Kuala Lumpur
2018-12-31,02,27.1,758.0,90,Wind blowing from the north-northeast,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,8.0,Kuala Lumpur
2018-12-30,23,27.4,758.7,89,Wind blowing from the west-southwest,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-30,20,28.7,757.2,83,Wind blowing from the north-west,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-30,17,31.6,755.2,71,Wind blowing from the west,4,"90  or more, but not 100%",Shower(s) of rain. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
